,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
330,cancel the outing,we had to,Notwithstanding we were,all busy that weekend,SSC CHSL (Tier-I)–06/08/2021 (Shift-I),c,"Ans. (c) :  In the above sentence, 'because of' will be used in place of 'Notwithstanding' because it gives  suitable meaning, according to the sense of sentenc e.  Correct Sentence -   Because of  we were all busy that weekend we had to cancel the outing.",Notwithstanding we were / all busy that weekend / we had to / cancel the outing,The following sentence has been split into four segments Identify the segment which contains a grammatical error.
331,We must plan,present situation,how can we,cope with the,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm)Spotting Error 54 YCT,c,Ans. (c) :  In the above sentence 'How we can' will be used in place of 'how can we' because 'how' is used  as a conjunction not as a question word. because the sentence is in affermative. Correct sentence-  We must plan how we can  cope with the present situation.,We must plan how can we cope with the present situation,Identify the segment in the sentence which contains a grammatical error.
332,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,b,"Ans. (b) In the above sentence 'And' will be used in place of 'of' because 'and' is used to join two nou n or clause.  Correct sentence-  The postman travelled by the cycle, often wading through swamps and  passed through jungles in order to reach the villages.","If a sentence is free from error, select No ErrorThe postman travelled by the cycle, often wading through (1)/swamps of passed through jungles (2)/ in order to reach the villages (3)/ No error (4)","In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option"
333,Preeti is absent,due to she is,from the meeting,out of station,SSC MTS – 21/08/2019 (Shift-I),b,"Ans: (b) In the above sentence, the use of because in place of 'due to' would be appropriate. Because in the sense of reason 'because' is used as a conjunction.    Correct sentence :  Preeti is absent from the meeting because  she is out of station.",Preeti is absent from the meeting due to she is out of station,Identify the segment in the sentence which contains the grammatical error.
334,Zoya won the first,prize in the race,unless she,stumbled and fell,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),c,"Ans. (c) :  'Inspite of /despite' would be appropriate in place of 'unless' in the above sentence.  It means –: in spite of (used to show that somebody  did not intend to do the thing mentioned). Hence it gives suitable meaning, according to the s ense of sentence.  Correct sentence-  Zoya won the first prize in the race inspite of  she stumbled and fell.",Zoya won the first prize in the race unless she stumbled and fell,Identify the segment in the sentence which contains a grammatical error.
335,stage artist,Miss Marple is,neither a good singer,or the good,SSC CPO-SI – 24/11/2020 (Shift-II),d,Ans. (d) :  'Nor the good ' will be used in place of 'or the good' in the above sentence. Because co-relative conjunction of neither is used with 'nor'.  Neither..............NorEither................Or Correct sentence : -  Miss Marple is neither  a good singer nor  the good stage artist.,Miss Marple is neither a good singer or the good stage artist,Identify the segment in the sentence which contains a grammatical error.
336,in case that,due to labour strike,the production was held up,we had to decline,SSC CGL (Tier-I) – 04/06/2019 (Shift-I),a,Ans: (a) : In the above sentence 'Because' conjunction would be appropriate in place of 'in case that'. Be cause the use of 'because' conjunction shows the reason w hich gives suitable meaning for the sentence.  Correct sentence-  We had to decline several orders because  the production was held up due to labour strike.,We had to decline several orders in case that the production was held up due to labour strike,In the sentence identify the segment which contains the grammatical error.
337,She lost a big order,her own carelessness,from a known showroom,in case of,SSC CGL (Tier-I) – 04/06/2019 (Shift-III),d,"Ans. (d) :  In the above sentence, 'because' is used in place of 'in case of '. The use of 'because' (conju nction) is showing the reason. Which gives the complete meaning of sentence.   Correct sentence : - She lost a big order from a known showroom because  her own carelessness.",She lost a big order from a known showroom in case of her own carelessness,In the sentence identify the segment which contains the grammatical error.
338,Although,It tore across,At least 157 people,Cyclone ldai killed,SSC CGL (Tier-I) – 04/06/2019 (Shift-I),a,Ans:  (a) In the above sentence Conjunction 'because/as' would be appropriate in place of 'Alth ough'. Rule- Because is used before another part of speech  to give the reason for something. Correct sentence : - Cyclone ldai killed at least 157 people in Zimbabwe  and Mozambique because/as  it tore across Southern Africa.,Cyclone ldai killed at least 157 people in Zimbabwe and Mozambique although it tore across Southern Africa,In the sentence identify the segment which contains the grammatical error.
339,two quick promotions,in order that,she has good communication skills,She got,SSC CGL (Tier-I) – 04/06/2019 (Shift-II),b,Ans: (b) In the above sentence 'Because' will be used in place of 'In order that'. Because is used to tal k about in the sense of reason.  Correct Sentence-  She got two quick promotions because  she has good communication skills.,She got two quick promotions in order that she has good communication skills,In the sentence identify the segment which contains the grammatical error.
340,No sooner did,the dark clouds gather.,in the sky,when the electricity was switched off,SSC CPO-SI – 13/12/2019 (Shift-II),d,"Ans. (d) :  In the above sentence, 'than' will be used in place of 'when'. Because the following structure is  used. 133No sooner did sub verb .........thanNo sooner + had + sub+verb .........thanHardly /Scarcely had sub verb .........when+ + ++ + + Correct Sentence  :- No sooner did the dark clouds gather in the sky tha n the electricity was switched off.",No sooner did the dark clouds gather in the sky when the electricity was switched off,In the sentence identify the segment which contains the grammatical error.
341,work collectively,but if we all,our nation can,make significant growth,SSC CHSL (Tier-I) –11/07/2019 (Shift-III),b,Ans: (b) In the above sentence the use of conjunction 'but' is superfluous. because conjunction 'if' will  be used for condition. Which gives the complete meaning of the sentence.    Correct Sentence  :- Our nation can make significant growth if  we all work collectively.,Our nation can make significant growth but if we all work collectively,In the sentence identify the segment which contains the grammatical error.
342,in many television serials earlier,she was going to host,this was the first time,Inspite Smita has taken part,SSC CHSL (Tier-I) –10/07/2019 (Shift-I),d,"Ans: (d) In the above sentence, 'Inspite of' will be used in place of 'Inspite'. Because preposition 'of' is used with 'Inspite'. While 'despite' is used without 'of' in the same sense.  Correct sentence :  Inspite of  Smita had taken part in many television serials earlier, this was the first time she was go ing to host a live show.","Inspite Smita had taken part in many television serials earlier, this was the first time she was going to host a live show",Identify the segment in the sentence which contains the grammatical error.
343,I reach the,the train left,No sooner did,station when,SSC MTS – 21/08/2019 (Shift-I),d,"Ans: (d) In the above sentence , 'than' will be used in place of 'when'.  Note- Here 'No sooner––––than' will be used as a Conjunction.   Correct sentence :  No sooner did I reach the station than  the train left.",No sooner did I reach the station when the train left,Identify the segment in the sentence which contains the grammatical error.
344,he could not clear,Even Sharat tried his best,all the examination papers,in one attempt,SSC CHSL (Tier-I) –10/07/2019 (Shift-II),b,"Ans: (b) In the above sentence Conjunction 'Even though' will be used in the place of adverb 'even'.  Because 'even though' is used when Result have not been received according to the work.  Correct sentence :-  Even  though  sharat tried his best, he could not clear all the examination papers in one attempt.","Even Sharat tried his best, he could not clear all the examination papers in one attempt",Identify the segment in the sentence which contains the grammatical error.
345,As you know that,to have ice-cream,after my dinner,I always like,SSC CHSL (Tier-I) –09/07/2019 (Shift-I),a,"Ans: (a) In the above sentence' 'As you know' will be used in place of 'As you know that'. Because when ' as' is used at the beginning of the sentence, then 'that' is not used as a conjunction while (,) comma is used in pl ace of 'that'.    Correct sentence :-  As you know,  I always like to have ice cream after my dinner.",As you know that I always like to have ice-cream after my dinner,Identify the segment in the sentence which contains the grammatical error.
346,Different-coloured natural foods,put a smile on children's faces,and also benefit,benefit their overall growth,SSC CHSL (Tier-I) –02/07/2019 (Shift-III),c,Ans: (c) In the above sentence 'But also benefit' would be appropriate in place of 'And also benefit'. Beca use co-relative conjunction 'but also' is used with not  only.   Correct sentence :-  Different-coloured natural foods not only  put a smile on children's faces but also  benefit their overall growth. Spotting Error 56 YCT,Different-coloured natural foods not only put a smile on children's faces and also benefit their overall growth,Select the sentence identify the segment which contains the grammatical error.
347,for the children,Meera went into the kitchen,to make some dinner,Despite of her tiredness,SSC CHSL (Tier-I) 14/10/2020 (Shift-I),d,"Ans. (d) :  In the above sentence, 'Despite' will be used in place of 'Despite of'. Because 'of' is not used with  Despite.  Correct sentence :-  Despite  her tiredness Meera went into the kitchen to make some dinner for the children.",Despite of her tiredness Meera went into the kitchen to make some dinner for the children,"Identify the segment in the sentence, which contains the grammatical error."
348,what that,the mother did,the baby didn't stop crying,no matter,SSC CHSL (Tier-I) 17/03/2020 (Shift-III),a,"Ans. (a) :  In the above sentence, 'what' will be used as a conjunction in place of 'what that', because 'no matter what' is a phrase followed by a noun.  Hence the use of 'that' is unnecessary.  Correct sentence :-  No matter what  the mother did the baby didn't stop crying.",No matter what that the mother did the baby didn't stop crying,"Select the segment in the sentence, which contains the grammatical error."
349,If they said nothing,her suggestion,their disapproval of,she could sense,SSC MTS – 09/08/2019 (Shift-I),a,"Ans. (a) :  In the above sentence, 'although they said nothing' will be used in place of 'if they said not hing'. Because 'although' is used connector between the tw o contrast sentences. While 'if' is used in the sense  of condition. Correct sentence :-  Although  they said nothing, she could sense their disapproval of her suggestion.","If they said nothing, she could sense their disapproval of her suggestion",Identify the segment in the sentence which contains the grammatical error from the given options.
350,No error,and you will repent,Do not let the,opportunity slip away,SSC MTS – 07/08/2019 (Shift-I),b,Ans. (b) :  In the above sentence 'Or' will be used in place of 'And'. because 'Or' is used to say otherwi se. It is used to introduce the consequences of something not being done. Correct sentence :-  Do not let the opportunity slip away or  you will repent.,Do not let the opportunity slip away and you will repent/No error,"Find the part of the given sentence that has an error in it If there is no error, choose 'No error'"
351,all his money,Ram cannot withdraw,a prior notice,unless he does not give,SSC MTS – 19/08/2019 (Shift-I),d,"Ans. (d) :  In the above sentence, unless he gives' will be used in place of 'unless he does not give'. Beca use 'not' is not used with 'unless'. 'Unless' is itself  a negative word (conjunction) which means –  if ---- not, except if (if not, not until) here not is superflou s. Correct Sentence :-  Ram cannot withdraw all his money unless he gives  a prior notice.",Ram cannot withdraw all his money unless he does not given a prior notice,Identify the segment in the sentence which contains the grammatical error.
352,but even intelligent also,is not only beautiful,No Error,sushmita's youngest sister,SSC MTS – 19/08/2019 (Shift-I),a,"Ans. (a) :  In the above sentence, 'but also intelligent' will be use in place of 'but even intelligent also in the sentence.  because not only------------but also''  is used as correlative Conjunction, therefore words of the sam e parts of speech are added to it.   Correct Sentence :-  Sushmita's youngest sister is not only beautiful bu t also  intelligent . F.   Article",Sushmita's youngest sister is not only beautiful but even intelligent also,"Identify the segment in the sentence whih contains the grammatical error If there is no error, select 'No Error'."
353,cities of Pompeii and Herculaneum,"its top, burying the ancient","In 79 A.D., the Mount Vesuvius blew",No Error,SSC MTS 10/05/2023 (Shift-I),c,"Ans. (c) :  In the above sentence article 'the'will not be used before mountain name. The correct sentence is- 'In 79, A.D. Mount Versuvius  blew ..... .' Thus, the correct answer is option (c).",", the Mount Vesuvius blew/its top, burying the ancient/ cities of Pompeii and Herculaneum","Identify the segment that contains a grammatical error If there is no error, select 'No error' In 79 AD."
354,An appeasements policies,the local groups,were all but a sham to misdirect,No error,SSC MTS 19/05/2023 (Shift-III)Spotting Error 57 YCT,a,Ans. (a) :  The segment of the above sentence – ‘An appeasements policies’ is grammatically incorrect because the article ‘An’ is used before indefinite singular countable noun. Article ‘the ’ is used before the singular/plural countable noun in the place of arti cle ‘An’. The correct segment is – ‘The  appeasements policies’.,"Identify the segment that contains a grammatical errorIr there is no error, select 'No error' / An appeasements policies/were all but a sham to misdirect/the local groups",
355,Her evaluation will give,me a best indication of,where I stand in the class,No error,SSC MTS 15/05/2023 (Shift-I),b,"Ans. (b) :  In the above given sentence, the segment 'me a best indication of' is grammatically incorrect, be cause before the superlative adjective (best) article 'th e' is used in the place of 'a' . The correct segment is – 'me the best indication of '. Thus, the correct answer is option (b).",Her evaluation will give/me a best indication of/where I stand in the class,"Identify the segment that contains a grammatical error If there is no error, select 'No error'."
356,to start her,own business,for a opportunity,She was waiting,SSC CGL (Tier-I) 21/07/2023 (Shift-II),c,"Ans. (c) :  In the above sentence option (c) 'for a opportunity'  are grammatically incorrect because indefinite article 'an'  is used in the place of article 'a' , because Article 'An'  is used before a singular Noun with a vowel sound. ⇒  'A' is used before a singular noun with a consona nt sound.  Correct Sentence- She was waiting for an  opportunity to start own business.",She was waiting for a opportunity to start her own business,Parts of the following sentence have been given as options Select the option that contains an error.
357,worse today,see a oculist;,your eyes look,You should,SSC CGL (Tier-I) 26/07/2023 (Shift-II),b,"Ans. (b) :  For the above given sentence, the option (b) is incorrect because 'see a oculist' is replaced by  'see an oculist'. Note- Indefinite article 'an' will be used before v owel sound. (oculist) Thus, the correct answer is option (b).  Correct Sentence- You should see an  oculist your eyes look warse today.",You should / see a oculist; / your eyes look / worse today,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
358,It was the hectic day for Susan with a lot of purchase and the couple of meetings.,It was a hectic day for Susan with the lot of purchase and a couple of meetings.,It was a hectic day for Susan with the lot of purchase and an couple of meetings.,It was a hectic day for Susan with the lot of purchase and an couple of meetings.,SSC CGL (Tier-I) 25/07/2023 (Shift-IV),d,"Ans. (d) :  The grammatically correct sentence of the above sentence is option (d) 'It was a hectic day  for Susan with a lot of  purchases and a couple of  meetings.' Note:- 'A' is the 'indefinite Article', use before the singular countable noun with consonant sound. ⇒ 'A lot of'/lots of' can both be used with plural countable nouns and singular uncountable nouns.  Hence, the correct answer is option (d).",Select the grammatically correct sentence,.
359,No error,B,C,A,SSC CGL (Tier-I) 18/07/2023 (Shift-III),b,"Ans. (b) :  The above given sentence, the segment 'in the small apartment ' is grammatically incorrect, because article 'the ' will be changed into 'a' before 'small apartment'. It is not specifying a particular or sp ecific apartment. Hence, article 'the' is inappropriate.  Thus, the correct answer is option (b).  Correct Sentence- Aniket lives in a  small apartment in the suburbs.",Aniket lives (A) / in the small apartment (B) / i n the suburbs (C),"The following sentence has been divided into three segments, A, B, C One of them may contain a grammatical error Select the segment that contains the error, from the given options If you don’t find any error, mark ‘No error’ as your answer."
360,She is a Indian artist married to a European engineer.,She is an Indian artist married to a European engineer.,She is a Indian artist married to an European engineer.,She is an Indian artist married to an European engineer.,SSC CGL (Tier-I) 17/07/2023 (Shift-II),b,Ans. (b) :  In the above sentence correctly use of the indefinite article is in option (b). Correct Sentence- She is an  Indian artist married to a  European engineer.,Identify the sentence that correctly uses the indefinite article,.
361,The historians,Are a great,Field of academia,Asset to the,SSC CGL (Tier-I) 24/07/2023 (Shift-III)Spotting Error 58 YCT,a,Ans. (a) :  In the above sentence 'Historians' will be used in place of 'the historians' because article 'the' is used in definite sense and here historians are not definite .  Correct Sentece- Historians  are a great asset to the field of academia.,The historians / are a great / asset to the / fie ld of academia,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
362,Black Ice Club,a oldest member,in our,Babbal is,SSC CHSL (Tier-I) 02/08/2023 (Shift-I),b,"Ans. (b) :  In the above sentence, the segment ' a oldest member' is grammatically incorrect because article 'the' is used before the superlative adjective (oldest me mber). Correct sentence – Babbal is the  oldest member in our black Ice club.",Babbal is / a oldest member / in our / Black Ice Club,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
363,a best,is,Honesty,policy,SSC CHSL (Tier-I) 04/08/2023 (Shift-III),a,Ans. (a) :  In the above sentence option (a) 'a best is grammatically incorrect part. Because article 'the'  is used before the superlative adjective (best). Correct sentence – Honesty is the best  policy.,Honesty / is / a best / policy,The following sentence has been divided into four parts One of them contains an error Select the part that contains the error from the given options.
364,wrote this book,A writer who,has been selected,for this year's literature award,SSC Stenographer (Grade C & D) 11.11.2021 Shift-I,b,"Ans. (b) :  In the above sentence, 'the writer who' will be used in place of 'A writer who', because the writer  is adefinite noun. Therefore definite article 'the' will be used befor e writer.  Correct sentence - The writer who wrote this book has been selected for this year's literature award.",A writer who wrote this book has been selected for this year's literature award,Identify the segment in the sentence which contains a grammatical error.
365,the efficient electrician,for changing the wiring,We require,of our house,SSC Stenographer (Grade C & D) 12.11.2021 Shift-II,a,"Ans. (a) : In the above sentence 'An' will be used in place of 'the' in the above sentence because in ind efinite sense, article 'an' is used before vowel sound word . Correct sentence-  We require an  efficient electrician for changing the wiring of our house.",We require the efficient electrician for changing the wiring of our house,Identify the segment in the sentence which contains a grammatical error.
366,a famous,Ronaldo is,player of,the football,SSC CHSL 27.05.2022 Shift-III,d,"Ans. (d) :  In the above sentence, 'Football' will be used in place of 'the football'. Because article 'the' i s used in definite sense. In general sense a noun is used wit hout an article.   Correct Sentence-  Ronaldo is a famous player of football .",Ronaldo is/a famous/player of/the football,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
367,This is,too grave sin,pardoned,to be,SSC CGL (Tier-I) 12/04/2022 Shift-II,b,"Ans. (b) :  In the above sentence, 'too grave a sin' will be used in place of 'too grave sin' because here the u se of sin (noun) is used in indefinite sense.  Hence Indefinite article 'a' will be used.  Correct Sentence -  This is too grave a sin  to be pardoned.",This is /too grave sin/to be/pardoned,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
368,was stolen,No error,from the museum,Antique diamond necklace,SSC CGL (Tier-I) 12/04/2022 Shift-II,d,"Ans. (d) :  In the above sentence 'An antique' will be used in place of 'Antique' because in indefinite se nse, article 'an' is used before vowel sound word.  Correct Sentence-  An Antique  diamond necklace was stolen from the museum.",Antique diamond necklace / was stolen / from the museum,"The following sentence has been divided into parts One of them may contain a grammatical error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
369,of all city-states,of ancient Greece,a most luminous,Athens was,SSC CGL (Tier-I) 13/04/2022 Shift-III,c,Ans. (c) :  Definite article 'the' is used with superlative degree (most). Hence 'The' most luminous will be us ed in place of 'most luminous'. In the above sentence  Correct sentence – Athens was the most  luminous of all city-states of ancient  Greece.  Spotting Error 59 YCT,Athens was/most luminous/ of all city-states/ for ancient Greece,The following sentence has been into four segments Identify the segment that contains grammatical error.
370,and we enjoyed it,the very well-directed film,No error,It was,SSC CGL (Tier-I) 11/04/2022 Shift-I,b,"Ans. (b) :  In the above sentence, ' a very well directed film, will be used instead of 'the very well direct ed film', because 'the' is used in definite sense whil e 'a' is used in indefinite sense. Hence Article 'a' will be  used. Correct sentence –  It was a very well directed film  and we enjoyed it.",It was / the very well-directed film / and we enjoyed it,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don’t find any error, mark ‘No error’ as your answer."
371,is always refreshing,fragrance of soil,The earthy,after a first rain,SSC MTS-15/07/2022 Shift-I,d,"Ans. (d) :  In the above sentence, 'After the first rain' will be used instead of 'after a first rain' becaus e definite article 'the' is used before ordinal number (first,  second, third etc).   Correct Sentence – The earthy fragrance of soil after the first  rain is always refreshing.",The earthy / fragrance of soil / after a first ra in / is always refreshing,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
372,No error,The telecom growth story is,the broader story of India.,a important component of,SSC MTS-06/07/2022 Shift-I,d,"Ans. (d) :  In the above sentence 'An important component' will be used in place of 'a important component', because article 'an' is used before the  word starting with vowel sound. (important) Correct Sentence – The telecom growth story is an  important component of the broader story of India.",The telecom growth story is a important component of the broader story of India,"Parts of the following sentence have been giv en as options One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
373,Struggling to make,No error,a honest living,He is,SSC MTS-08/07/2022 Shift-I,c,Ans. (c) :  In the above sentence 'An honest living' will be used in place of a honest living. Because indefi nite article 'an' is used before the noun of the vowel s ound.  Correct Sentence –  He is struggling to make an  honest living.,he is / struggling to make / a honest living,"The following sentence has been divided into parts One of them may contain an error Select the part that contains the error from the given options If you don't find any error, mark 'No error' as your answer."
374,by 9 a.m.,the next morning,Our team leader,told us to be at the work,SSC Constable GD-29/11/2021 Shift-II,d,"Ans. (d) :  In the above sentence, 'at work' will be used instead of 'at the work', because article 'the' is used in specific sense. Hence, definite article 'the' will not be used.    Correct Sentence -  Our team leader told us to be at work  by 9 a.m. the next morning.",/ the next morning,The following sentence has been split into four segments Identify the segment that contains a grammatical error Our team leader / told us to be at the work / by 9 am.
375,Bunny's house,on the right1,Go to the ninth block,take a sharpest turn,SSC Constable GD-25/11/2021 Shift-III,d,"Ans. (d) :  In the above sentence, article 'the' will be used in place of 'a', because definite article 'the ' is used before superlative degree. (sharpest)  Correct Sentence – Go to the ninth block on the left hand side and tak e the  sharpest turn to reach Bunny's house on the right.",Go to the ninth block on the left-hand side and take a sharpest turn to reach Bunny’s house on the right,Parts of the given sentence have been given as options One of them contains a grammatical error Select the option that has the error.
376,settled,in united states,I think,he has,SSC Constable GD-02/12/2021 Shift-I,b,"Ans. (b) :  In the above sentence, 'In the united states' will be used instead of in united states. Because a rticle 'the' is used before the name of some country.     Note → Some countries as  - The United States of America (USA), The Athens, The Philippines, The West Indies  Correct sentence -  I think he has settled in the  united states.",I think/he has/settled/in United States,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
377,an cheap dumping ground,for all kinds,of waste products,the sea has become,SSC CGL (Tier-I) –17/08/2021 (Shift-I),a,"Ans. (a) :  In the above sentence, 'a' will be used in place of 'an', because the pronunciation of 'cheap'  is pronounced with (consonant sound). So Indefinite article 'a' will be used before it. While 'an' is u sed before vowel sound.  Correct Sentence -   The sea has become a  cheap dumping ground for all kind of waste products.",The sea has become/an cheap dumping ground/ for all kinds/of waste products,The following sentence has been divided into parts One of them contains an error Select the part that contains the error the given options.
378,There was enough evidence,Fake medicines,to convict him,on selling of,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),d,"Ans. (d) :  In the above sentence, 'on the selling of' will be used in place of 'on selling of', because when t wo nouns are joined by 'of' then 'the' is used before the first noun.  Correct sentence - There was enough evidence to convict him on the  selling of  fake medicines.",There was enough evidence to convict him on selling of fake medicines,Identify the segment in the sentence which contains a grammatical error.
379,many large trucks,can enter it,Although this is,a narrowest street,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),d,"Ans. (d) :  In the above sentence, 'The narrowest' will be used instead of 'a narrowest', because definite article 'the' is used before superlative form (narrowest).  Correct sentence-  Although this is the  narrowest street, many large trucks can enter it.","Although this is a narrowest street, many large trucks can enter it",Identify the segment in the sentence which contains a grammatical error.
380,lending me,Do you mind,for a hour,your book,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),c,Ans. (c) : 'An hour' will be used in place of 'a hour' in the above sentence. Because 'hour' is a vowel sound ing word so article 'an' will be used before it. Correct sentence - Do you mind lending me your book for an  hour?,Identify the segment in the sentence which contains a grammatical error : Do you mind lending me your book for a hour?,.
381,moves,the Sun,A Earth,round,SSC Stenographer Grade C&D –05/02/2019 (3:5pm),c,"Ans. (c) : In the above sentence, 'The' Earth' will be used in place of 'A Earth', because definite articl e 'the' is used with celestial bodies (Earth, Sun, Moon etc .) Correct sentence - The Earth  moves round the Sun.",A Earth moves round the Sun,Identify the segment in the sentence which contains the grammatical error.
382,We were busy,at the work,only at 2.30 pm,and went for lunch,SSC CHSL (Tier-I) 17/03/2020 (Shift-III),b,"Ans. (b) :  In the above sentence, 'at work' will be used in place of 'at the work'. The definite article 'the' is usually not used before 'work'. Because in the sentence 'wo rk' is used in indefinite sense and uncountable noon.   Correct sentence :  We were busy at work  and went for lunch only at 2.30 pm.",30 pm,"Select the segment in the sentence, which contains the grammatical error We were busy at the work and went for lunch only at 2."
383,a best quality,at eighty rupees,in the nearby,is available,SSC CPO-SI – 25/11/2020 (Shift-I),a,"Ans. (a) :  In the above sentence, 'The best' will be used instead of 'a best', because article 'the' is used before superlative degree.  Correct sentence :-  Rice of the  best quality is available in the nearby supermarket at eighty rupees per kilo.",Rice of a best quality is available in the nearby supermarket at eighty rupees per kilo,Identify the segment in the sentence which contains a grammatical error.
384,to the police,improbable story,narrated an rather,Two elderly ladies,SSC CPO-SI – 24/11/2020 (Shift-II),c,"Ans. (c) :  In the above sentence, the use of 'An rather' is incorrect. In its place ' rather an' will be use d  because the use of 'an' is used for improbable stor y in the sentence.   Note  –: Improbable is pronounced with 'vowel sound'. Therefore before this, indefinite article 'An' will  be used.   Correct Sentence :-  Two elderly ladies narrated rather an  improbable story to the police.",Two elderly ladies narrated an rather improbable story to the police,Identify the segment in the sentence which contains a grammatical error.
385,home to the bulk of,the water crisis,is even worst,In the northern suburbs,SSC CGL (Tier-I) – 10/06/2019 (Shift-I),c,"Ans: (c) In the above sentence, ' is even the worst' will be used instead of 'is even worst'. Because in the given sentence 'worst' which is superlative form of bad a nd 'the' is used before the superlative degree.  Correct sentence :-  In the northern suburbs of Bengaluru, home to the b ulk of the information technology industry, the water c risis is even the worst .  Spotting Error 61 YCT","In the northern suburbs of Bengaluru, home to the bulk of the information technology industry, the water crisis is even worst",In the sentence identify the segment which contains the grammatical error.
386,The day before yesterday,he left for Europe,No error,by the air,SSC CPO-SI – 13/12/2019 (Shift-I),d,"Ans. (d) :  In the above sentence, 'by air' would be appropriate in place of 'by the air'. Because 'by' is used before the medium of transport but article 'the' is  not used like  – By air, by railway, by road, by water.    Correct sentence :-  The day before yesterday he left for Europe by  air.","Identify the segment that contains a grammatical errorIf there is no error, select 'No error' The day before yesterday he left for Europe by the air",
387,enamel paint on this wall,We will use,a best finish,because it gives,SSC CHSL (Tier-I) –11/07/2019 (Shift-II),c,"Ans: (c) In the above sentence, 'the best finish' will be used instead of 'a best finish', because definite a rticle 'the' is used before superlative degree.  Correct sentence :-  We will use enamel paint on this wall because it gi ves the best finish.",We will use enamel paint on this wall because it gives a best finish,Identify the segment in the sentence which contains the grammatical error.
388,heat wave on,a terrible weather,with this,we are having,SSC CHSL (Tier-I) –09/07/2019 (Shift-I),b,"Ans: (b) In the above sentence, 'terrible weather' will be used instead of 'a terrible weather'. Because we ather' is uncountable noun. Therefore before it, article ( a/an) is not used.  Correct sentence :-  With this heat wave on we are having terrible weath er.","With this heat wave on, we are having a terrible weather",Identify the segment in the sentence which contains the grammatical error.
389,her father,The young girl,was helping,to look after shop,SSC CHSL (Tier-I) –09/07/2019 (Shift-II),d,"Ans: (d) In the above sentence, 'to look after the shop' will be used in place of 'to look after shop'. Beca use in the above sentence, 'shop' is used as definite noun .  Hence, before it, 'the' should be used.   Note- 'A/An' is used before Indefinite noun.  Correct sentence :-  The young girl was helping her father to look after  the shop.",The young girl was helping her father to look after shop,Identify the segment in the sentence which contains the grammatical error.
390,our immediate attention,are a greatest,which needs,facing planet,SSC CHSL (Tier-I) –08/07/2019 (Shift-III),b,"Ans: (b) In the above sentence, 'the greatest' will be used instead of 'greatest'. Because definite articl e 'the' is used before superlative degree.  Correct sentence :-  Climate change are the  greatest threat facing our planet which needs our immediate attention.",Climate change are a greatest threat facing our planet which needs our immediate attention,Identify the segment which contains the grammatical error.
392,a longest and healthy life,According to a recent study,is associated with,drinking green tea thrice a week,SSC CHSL (Tier-I) 21/10/2020 (Shift-I),a,"Ans. (a) :  'The longest and healthy life' would be appropriate instead of 'a longest and healthy life'  in the above sentence. Because 'the' is always used before  superlative degree and the superlative form of long  is longest.   Correct Sentence :-  According to a recent study, drinking green tea thr ice a week is associated with the longest  and healthy life. Spotting Error 62 YCT","According to a recent study, drinking green tea thrice a week is associated with a longest and healthy life",In the sentence identify the segment which contains the grammatical error.
393,once again voted for,the democratic pary,in Taiwan seem to have,Most of voters,SSC CHSL (Tier-I) 13/10/2020 (Shift-III),d,"Ans. (d) In the above sentence, 'Most of the Voters' will be used in place of 'most of voters'. Because with most of the following structure is used.  most of + the + plural noun  Correct Sentence :-  Most of the  voters in Taiwan seem to have once again voted for the democratic party and President Tsai I ng-wen.",Most of voters in Taiwan seem to have once again voted for the democratic party and President Tsai Ing-wen,Identify the segment in the given sentence which contains the grammatical error.
394,he was 87,when I met,one of a pioneers of Indian art,but still alert and active,SSC CHSL (Tier-I) 12/10/2020 (Shift-I),c,"Ans. (c) :  'One of the pioneers of Indian art' will be used instead of 'one of a pioneers of Indian art' i n the above sentence. Because after one of' 'article the'  and plural countable noun is used.  Therefore here 'the' will be used in place of 'a'.  Correct Sentence :-  When I met Akbar Padamsee, one of the  pioneers of Indian art, he was 87 but still alert and active.","When I met Akbar Padamsee, one of a pioneers of Indian art, he was 87 but still alert and active",In the given sentence identify the segment which contains the grammatical error.
